# t (s)	mx ()	my ()	mz ()
8.150540976708211e-10	-0.32386965	-0.04492296	0.02145365
8.200709738159175e-10	-0.3220967	-0.04736834	0.021496937
8.250877712941163e-10	-0.32027853	-0.049765225	0.021543084
8.301046291789828e-10	-0.31841567	-0.052112304	0.021591933
8.351215254036641e-10	-0.31650904	-0.054408226	0.021643206
8.401384433610098e-10	-0.31455928	-0.056651764	0.021696528
8.451554207016097e-10	-0.31256747	-0.058841743	0.021751462
8.500105268144357e-10	-0.31060073	-0.060909044	0.021805722
8.550274115616382e-10	-0.30852905	-0.0629905	0.02186248
8.600442458153448e-10	-0.30641863	-0.06501544	0.021919535
8.65061131435583e-10	-0.30427065	-0.06698307	0.021976568
8.700781061273487e-10	-0.30208665	-0.06889265	0.022033317
8.750951473582816e-10	-0.29986805	-0.07074351	0.022089673
8.80112062566136e-10	-0.2976165	-0.07253496	0.022145595
8.851290874877162e-10	-0.29533356	-0.07426657	0.02220117
8.901460511802213e-10	-0.29302076	-0.07593776	0.022256555
8.950011589610346e-10	-0.2907556	-0.07749714	0.022310186
9.000181240217406e-10	-0.28838852	-0.07904827	0.022365894
9.050351630546999e-10	-0.28599602	-0.080537826	0.022422165
9.1005234813452e-10	-0.2835794	-0.081965476	0.022479253
9.15069475550768e-10	-0.28114015	-0.08333084	0.022537358
9.200864981826862e-10	-0.27867958	-0.08463354	0.022596648
9.251035398078733e-10	-0.27619886	-0.08587327	0.022657199
9.301206908231655e-10	-0.27369925	-0.087049715	0.022719024
9.351377763345182e-10	-0.27118212	-0.08816245	0.022782061
9.401548382648846e-10	-0.26864868	-0.089211136	0.022846181
9.45010086050618e-10	-0.26618266	-0.09016465	0.022909101
9.500272092871273e-10	-0.26362097	-0.0910862	0.022974815
9.550442636344248e-10	-0.26104704	-0.0919426	0.02304101
9.600615284376679e-10	-0.25846213	-0.09273352	0.023107473
9.650785915684408e-10	-0.2558679	-0.0934586	0.02317399
9.700957803060324e-10	-0.2532657	-0.094117686	0.023240391
9.751128893090792e-10	-0.25065717	-0.09471051	0.023306534
9.801300998260653e-10	-0.24804363	-0.09523703	0.02337234
9.851472902269876e-10	-0.24542668	-0.095697194	0.023437744
9.90002577384005e-10	-0.24289231	-0.096079424	0.023500655
9.950197616936472e-10	-0.24027291	-0.09640936	0.023565281
1.000037029166052e-09	-0.23765428	-0.09667347	0.023629557
1.0050541433249406e-09	-0.23503801	-0.096872136	0.023693543
1.0100714673384373e-09	-0.2324252	-0.097005785	0.023757285
1.0150886472072164e-09	-0.22981742	-0.09707488	0.023820834
1.0201060340132855e-09	-0.22721572	-0.09708002	0.023884226
1.0251233017784157e-09	-0.22462165	-0.09702179	0.023947468
1.0301404295009419e-09	-0.22203654	-0.09690077	0.02401056
1.0351578793340342e-09	-0.21946138	-0.09671758	0.024073476
1.040013230655199e-09	-0.21698035	-0.09648168	0.024134146
1.0450305555057527e-09	-0.21442914	-0.09617788	0.02419656
1.0500478117100163e-09	-0.21189208	-0.095813654	0.024258628
1.0550652988613622e-09	-0.2093704	-0.09538946	0.024320276
1.0600825910074364e-09	-0.2068657	-0.0949059	0.024381433
1.0650999477024227e-09	-0.20437916	-0.09436342	0.024442034
1.0701172588511446e-09	-0.20191221	-0.09376256	0.02450203
1.075134723970575e-09	-0.1994661	-0.09310382	0.024561375
1.080152169440932e-09	-0.19704223	-0.092387766	0.024620034
1.085007795944101e-09	-0.19471887	-0.0916408	0.024676133
1.090025122903663e-09	-0.19234242	-0.09081381	0.02473339
1.0950426141139605e-09	-0.18999176	-0.08993143	0.024789928
1.1000601077713414e-09	-0.18766809	-0.08899445	0.024845727
1.1050775688962464e-09	-0.18537252	-0.08800376	0.024900787
1.1100948795913855e-09	-0.18310617	-0.086960316	0.02495509
1.1151124251599962e-09	-0.18086992	-0.08586499	0.025008626
1.120130040681556e-09	-0.17866479	-0.08471887	0.02506136
1.1251475454735825e-09	-0.17649187	-0.083523065	0.025113266
1.1300033320480332e-09	-0.17442049	-0.08231954	0.02516267
1.1350209597898932e-09	-0.1723136	-0.081029154	0.025212824
1.1400385218733777e-09	-0.17024168	-0.07969242	0.025262019
1.1450560779350529e-09	-0.16820574	-0.07831046	0.02531021
1.1500737915725622e-09	-0.1662066	-0.076884344	0.025357356
1.155091271085345e-09	-0.1642454	-0.0754153	0.025403425
1.1601088802577536e-09	-0.1623229	-0.07390431	0.025448391
1.1651265171576466e-09	-0.1604401	-0.072352506	0.025492236
1.1701442444798106e-09	-0.15859786	-0.07076092	0.025534956
1.175161787172637e-09	-0.15679716	-0.069130726	0.025576552
1.1800176699416312e-09	-0.15509473	-0.06751721	0.025615746
1.1850354582353768e-09	-0.15337797	-0.065813944	0.025655165
1.1900531780781453e-09	-0.1517051	-0.06407519	0.025693508
1.1950708701332547e-09	-0.15007679	-0.06230206	0.02573078
1.2000886398284803e-09	-0.1484937	-0.060495645	0.025766993
1.2051064255224716e-09	-0.14695644	-0.05865712	0.025802167
1.2101240608712886e-09	-0.14546566	-0.05678773	0.025836296
1.2151418282385068e-09	-0.14402176	-0.054888595	0.025869366
1.2201596709359063e-09	-0.14262526	-0.052960962	0.02590136
1.2250154993960655e-09	-0.1413194	-0.051069655	0.025931275
1.230033293720469e-09	-0.14001748	-0.049089745	0.02596107
1.2350511535894394e-09	-0.13876417	-0.04708517	0.025989695
1.2400689863255172e-09	-0.13755994	-0.045057256	0.026017105
1.2450869113924868e-09	-0.13640504	-0.043007284	0.026043266
1.2501047337604806e-09	-0.13529986	-0.040936653	0.02606814
1.2551226543229825e-09	-0.13424471	-0.038846582	0.026091695
1.2601404595399529e-09	-0.13323992	-0.036738478	0.026113918
1.2651583858188949e-09	-0.13228573	-0.034613535	0.026134793
1.2700144495531465e-09	-0.13141078	-0.03254236	0.026153713
1.2750325142563924e-09	-0.13055696	-0.030388067	0.026171941
1.28005048987302e-09	-0.12975453	-0.0282208	0.026188845
1.285068354048892e-09	-0.12900366	-0.026041834	0.026204456
1.2900863156255184e-09	-0.12830447	-0.023852317	0.026218794
1.2951041405277194e-09	-0.12765716	-0.021653587	0.02623189
1.3001222020087386e-09	-0.1270617	-0.019446714	0.026243782
1.3051400663339411e-09	-0.12651818	-0.017233118	0.026254488
1.3101580809806122e-09	-0.12602659	-0.015013867	0.026264038
1.3150141785936757e-09	-0.12560026	-0.012862066	0.026272187
1.3200322890976987e-09	-0.12521063	-0.010635361	0.026279498
1.3250502558422164e-09	-0.12487269	-0.008406777	0.026285669
1.3300681888429306e-09	-0.12458625	-0.0061774836	0.026290711
1.3350862636766653e-09	-0.12435108	-0.0039486354	0.026294595
1.340104337751714e-09	-0.12416695	-0.0017215176	0.026297322
1.3451222890752483e-09	-0.124033675	0.00050259393	0.026298868
1.3501402585934687e-09	-0.12395092	0.0027225406	0.02629922
1.3551581376548905e-09	-0.12391842	0.004937073	0.026298359
1.360014329296969e-09	-0.12393449	0.0070739943	0.026296362
1.3650323793660097e-09	-0.12399994	0.009274526	0.026293093
1.370050452485879e-09	-0.12411467	0.011466158	0.026288597
1.3750684689433594e-09	-0.1242783	0.013647701	0.02628288
1.3800864695137892e-09	-0.124490485	0.015818024	0.026275963
1.3851044435178805e-09	-0.12475081	0.017975999	0.026267856
1.3901225192038947e-09	-0.12505887	0.020120567	0.026258595
1.3951406460517133e-09	-0.1254142	0.02225062	0.026248207
1.4001587084068926e-09	-0.12581633	0.024365043	0.026236728
1.4050148406673736e-09	-0.1262496	0.02639538	0.026224604
1.4100328313237292e-09	-0.12674232	0.028476005	0.026211062
1.4150508826749813e-09	-0.12728028	0.030537993	0.026196523
1.4200689632834194e-09	-0.1278629	0.032580324	0.026181016
1.425086935331054e-09	-0.12848951	0.034601964	0.026164563
1.4301050019757794e-09	-0.12915953	0.03660204	0.026147183
1.4351230336433316e-09	-0.12987223	0.038579553	0.026128896
1.4401410486947252e-09	-0.13062693	0.040533587	0.026109712
1.445158987226639e-09	-0.13142289	0.042463202	0.02608964
1.4500152041120565e-09	-0.13223182	0.044306573	0.02606938
1.4550330665139605e-09	-0.13310681	0.046185575	0.026047578
1.4600510483114879e-09	-0.13402086	0.04803764	0.02602491
1.4650690814858238e-09	-0.13497318	0.049861874	0.026001377
1.4700870602964257e-09	-0.13596295	0.05165744	0.025976988
1.4751049379730227e-09	-0.13698934	0.053423487	0.02595176
1.4801228716995268e-09	-0.13805158	0.055159297	0.025925703
1.485140834831867e-09	-0.13914885	0.056864087	0.025898831
1.4901586488463295e-09	-0.14028023	0.058537062	0.025871176
1.495014751059465e-09	-0.14140691	0.06012519	0.025843684
1.50003270301212e-09	-0.14260307	0.061733603	0.02581455
1.5050504930982962e-09	-0.14383084	0.06330813	0.025784712
1.5100684097078223e-09	-0.14508937	0.06484819	0.025754197
1.5150862994125657e-09	-0.14637773	0.066353135	0.025723036
1.520104099736992e-09	-0.147695	0.06782234	0.025691269
1.5251219317069421e-09	-0.14904027	0.06925527	0.025658924
1.5301397872774117e-09	-0.15041262	0.07065139	0.025626026
1.5351575763451406e-09	-0.15181105	0.07201012	0.025592607
1.540013484782001e-09	-0.1531883	0.073289	0.0255598
1.5450313000494573e-09	-0.15463527	0.074572854	0.02552544
1.5500490527140488e-09	-0.15610541	0.07581791	0.02549063
1.555066942159751e-09	-0.15759782	0.07702386	0.025455395
1.560084790155437e-09	-0.15911144	0.07819022	0.025419759
1.5651025447306497e-09	-0.1606452	0.07931661	0.025383733
1.5701201970812064e-09	-0.16219814	0.08040267	0.02534734
1.5751380111757798e-09	-0.16376932	0.08144813	0.02531059
1.580155770656074e-09	-0.16535763	0.08245264	0.025273511
1.5850116677891233e-09	-0.16691011	0.083385475	0.025237327
1.590029317043766e-09	-0.16852926	0.08430857	0.02519964
1.5950470348020453e-09	-0.17016257	0.08518994	0.025161685
1.6000645832244537e-09	-0.17180899	0.08602931	0.025123473
1.6050823159601733e-09	-0.17346764	0.08682656	0.025085034
1.6100999812637479e-09	-0.1751374	0.08758146	0.025046391
1.615117613167074e-09	-0.17681733	0.088293895	0.02500757
1.6201351188819326e-09	-0.17850634	0.08896371	0.024968602
1.6251526795315917e-09	-0.18020356	0.08959083	0.024929509
1.6300085415986204e-09	-0.18185285	0.09015703	0.024891585
1.6350260659141328e-09	-0.18356316	0.09069995	0.024852332
1.6400436707265205e-09	-0.1852787	0.091200046	0.024813045
1.6450612026224865e-09	-0.18699838	0.09165732	0.024773743
1.650078699004944e-09	-0.18872128	0.09207178	0.024734456
1.655096157142127e-09	-0.19044639	0.0924435	0.02469521
1.6601135067475135e-09	-0.19217272	0.09277255	0.02465603
1.665130987070685e-09	-0.19389932	0.09305904	0.024616936
1.6701483973339714e-09	-0.19562523	0.0933031	0.024577951
1.6750040344770705e-09	-0.1972939	0.093499005	0.02454035
1.6800213393258754e-09	-0.19901559	0.09365999	0.024501637
1.685038819450824e-09	-0.20073383	0.09377904	0.024463093
1.690056181951593e-09	-0.20244756	0.093856335	0.02442474
1.695073389042672e-09	-0.20415586	0.09389215	0.024386588
1.700090777168873e-09	-0.20585796	0.09388668	0.024348661
1.7051080912937517e-09	-0.20755284	0.09384024	0.024310976
1.7101252664725991e-09	-0.20923959	0.09375309	0.024273552
1.7151426723269757e-09	-0.21091749	0.09362555	0.024236407
1.7201600207917366e-09	-0.21258557	0.09345795	0.024199558
1.725015228440295e-09	-0.2141896	0.09325795	0.024164202
1.730032452072633e-09	-0.21583588	0.09301255	0.024127996
1.7350496559469594e-09	-0.21746989	0.09272817	0.024092145
1.7400669532214855e-09	-0.21909083	0.09240522	0.024056675
1.745084079180132e-09	-0.22069785	0.09204416	0.024021598
1.750101352373315e-09	-0.22229023	0.09164538	0.02398694
1.7551185449123834e-09	-0.22386716	0.09120938	0.023952717
1.7601356201624424e-09	-0.2254279	0.09073665	0.023918953
1.765152721465442e-09	-0.22697169	0.09022766	0.023885664
1.7700081042128739e-09	-0.22844888	0.089701064	0.023853917
1.775025077222724e-09	-0.2299572	0.089122295	0.023821611
1.7800421856355073e-09	-0.2314465	0.088508844	0.023789832
1.7850593673607346e-09	-0.23291613	0.0878613	0.023758586
1.7900764347981886e-09	-0.23436536	0.08718024	0.023727896
1.7950934538855044e-09	-0.23579352	0.08646627	0.023697773
1.800110668499586e-09	-0.23720004	0.08571996	0.023668228
1.8051275628150886e-09	-0.23858427	0.08494201	0.02363927
1.8101447257847375e-09	-0.23994562	0.08413296	0.02361091
1.8151618143133347e-09	-0.24128355	0.083293505	0.02358316
1.8200170244560795e-09	-0.24255545	0.082452804	0.023556897
1.825034198265498e-09	-0.24384563	0.081555426	0.023530379
1.8300512259908003e-09	-0.2451107	0.08062966	0.023504492
1.8350682446164941e-09	-0.24635023	0.07967615	0.023479259
1.8400852298194183e-09	-0.2475637	0.07869562	0.023454677
1.8451021377880274e-09	-0.24875063	0.07768877	0.023430761
1.8501192458844284e-09	-0.2499106	0.07665628	0.023407517
1.8551363169629801e-09	-0.25104317	0.075598925	0.023384957
1.8601532777011006e-09	-0.25214788	0.07451743	0.023363085
1.865008482783478e-09	-0.2531901	0.07344855	0.023342581
