# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-0.684032	0.39082158	0	-0.011999996	0	0
0	-0.7083802	0.37755162	0	-0.013000003	0	0
0	-0.72951066	0.36589643	0	-0.0139999995	0	0
0	-0.945881	0.09257836	0	-0.014999993	0	0
0	-0.9480277	0.090210915	0	-0.016	0	0
0	-0.95002925	0.0879564	0	-0.016999999	0	0
0	-0.95189947	0.08580881	0	-0.018000005	0	0
0	-0.9536514	0.08375853	0	-0.018999996	0	0
0	-0.95529616	0.081798784	0	-0.019999998	0	0
0	-0.95684314	0.0799243	0	-0.021000009	0	0
0	-0.9583015	0.07812714	0	-0.022000011	0	0
0	-0.9596783	0.07640357	0	-0.023	0	0
0	-0.96098053	0.07474811	0	-0.023999993	0	0
0	-0.9622142	0.07315656	0	-0.024999993	0	0
0	-0.96338487	0.07162452	0	-0.026000006	0	0
0	-0.96449685	0.07014884	0	-0.027000008	0	0
0	-0.96555483	0.06872636	0	-0.027999999	0	0
0	-0.96656287	0.06735269	0	-0.028999986	0	0
0	-0.96752435	0.06602566	0	-0.029999986	0	0
0	-0.96844244	0.06474289	0	-0.031000005	0	0
0	-0.96932036	0.063500844	0	-0.032	0	0
0	-0.97016054	0.062298007	0	-0.032999996	0	0
0	-0.97096574	0.061131403	0	-0.033999998	0	0
0	-0.971738	0.05999903	0	-0.035000008	0	0
0	-0.9724797	0.058898557	0	-0.03600001	0	0
0	-0.9731925	0.05782815	0	-0.036999997	0	0
0	-0.9738786	0.056785	0	-0.03799999	0	0
0	-0.97453964	0.055767395	0	-0.039	0	0
0	-0.9751774	0.054772522	0	-0.039999995	0	0
0	-0.9757936	0.053797394	0	-0.041000005	0	0
0	-0.97638994	0.052838404	0	-0.042000018	0	0
0	-0.9769685	0.051890634	0	-0.04299999	0	0
0	-0.9775324	0.05094437	0	-0.044000022	0	0
0	-0.9780865	0.049980354	0	-0.04499999	0	0
0	-0.97865015	0.04891571	0	-0.046	0	0
0	-0.9791897	0.047873624	0	-0.047000017	0	0
0	-0.9796645	0.04703407	0	-0.047999986	0	0
0	-0.980127	0.04617632	0	-0.049000017	0	0
0	-0.98058355	0.045277216	0	-0.049999986	0	0
0	-0.9810222	0.04437665	0	-0.051	0	0
0	-0.9825666	0.000110023364	0	-0.052000012	0	0
0	-0.98288	7.942383e-05	0	-0.052999977	0	0
0	-0.9831855	6.226887e-05	0	-0.054000016	0	0
0	-0.98348373	4.90665e-05	0	-0.05499998	0	0
