# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-6.469706e-05	-0.9656776	0	0	-0.06500003	0
0	-6.571685e-05	-0.96499795	0	0	-0.064	0
0	-6.676197e-05	-0.9642991	0	0	-0.062999986	0
0	-6.783898e-05	-0.9635805	0	0	-0.06200001	0
0	-6.89446e-05	-0.96284103	0	0	-0.060999993	0
0	-7.008128e-05	-0.96208006	0	0	-0.059999973	0
0	-7.12523e-05	-0.9612963	0	0	-0.05900001	0
0	-7.245799e-05	-0.9604891	0	0	-0.057999972	0
0	-7.370274e-05	-0.9596572	0	0	-0.057000015	0
0	-7.498835e-05	-0.9587993	0	0	-0.055999998	0
0	-7.631362e-05	-0.9579144	0	0	-0.05499998	0
0	-7.768576e-05	-0.95700115	0	0	-0.054000016	0
0	-7.910205e-05	-0.9560581	0	0	-0.052999977	0
0	-8.056864e-05	-0.95508397	0	0	-0.052000012	0
0	-8.209167e-05	-0.9540771	0	0	-0.051	0
0	-8.367221e-05	-0.95303565	0	0	-0.049999986	0
0	-8.5310625e-05	-0.95195806	0	0	-0.049000017	0
0	-8.701581e-05	-0.9508422	0	0	-0.047999986	0
0	-8.8793066e-05	-0.94968617	0	0	-0.047000017	0
0	-9.063818e-05	-0.94848776	0	0	-0.046	0
0	-9.256522e-05	-0.9472446	0	0	-0.04499999	0
0	-9.458022e-05	-0.9459541	0	0	-0.044000022	0
0	-9.668202e-05	-0.9446138	0	0	-0.04299999	0
0	-9.888546e-05	-0.94322014	0	0	-0.042000018	0
0	-0.00010119693	-0.9417704	0	0	-0.041000005	0
0	-0.00010362147	-0.9402612	0	0	-0.039999995	0
0	-0.000106169755	-0.9386885	0	0	-0.039	0
0	-0.000108851076	-0.93704826	0	0	-0.03799999	0
0	-0.00011168884	-0.9353361	0	0	-0.036999997	0
0	-0.000114681825	-0.93354726	0	0	-0.03600001	0
0	-0.00011784064	-0.9316766	0	0	-0.035000008	0
0	-0.000121192934	-0.929718	0	0	-0.033999998	0
0	-0.00012476413	-0.9276651	0	0	-0.032999996	0
0	-0.00012855403	-0.92551166	0	0	-0.032	0
0	-0.0001326079	-0.923249	0	0	-0.031000005	0
0	-0.00013693639	-0.9208692	0	0	-0.029999986	0
0	-0.00014157263	-0.91836286	0	0	-0.028999986	0
0	-0.00014656654	-0.915719	0	0	-0.027999999	0
0	-0.00015195576	-0.9129262	0	0	-0.027000008	0
0	-0.00015780026	-0.9099712	0	0	-0.026000006	0
0	-0.00016413229	-0.90683943	0	0	-0.024999993	0
0	-0.00017103064	-0.9035141	0	0	-0.023999993	0
0	-0.0001785455	-0.89997625	0	0	-0.023	0
0	-0.00018677331	-0.8962046	0	0	-0.022000011	0
0	-0.00019592566	-0.8921725	0	0	-0.021000009	0
0	-0.00020608978	-0.8878536	0	0	-0.019999998	0
0	-0.00021744701	-0.8832141	0	0	-0.018999996	0
0	-0.00023032565	-0.878215	0	0	-0.018000005	0
0	-0.00024499715	-0.8728109	0	0	-0.016999999	0
0	-0.00026185653	-0.8669482	0	0	-0.016	0
0	-0.00028156253	-0.86056036	0	0	-0.014999993	0
0	-0.00030504225	-0.85356724	0	0	-0.0139999995	0
0	-0.0003333675	-0.8458678	0	0	-0.013000003	0
0	-0.00036853127	-0.83732164	0	0	-0.011999996	0
0	-0.00041500846	-0.8277155	0	0	-0.0110000055	0
0	-0.0004799141	-0.8166649	0	0	-0.009999999	0
0	-0.0005701632	-0.8032079	0	0	-0.009000002	0
0	-0.00064967375	-0.7855261	0	0	-0.008	0
0	-0.0008908114	-0.7415688	0	0	-0.0069999998	0
0	-0.0009741816	-0.71115774	0	0	-0.005999998	0
0	-0.0010235158	-0.68420744	0	0	-0.0049999994	0
0	-0.0010717402	-0.6576055	0	0	-0.004	0
0	-0.001126494	-0.6306565	0	0	-0.002999999	0
0	-0.0011919206	-0.60314816	0	0	-0.002	0
0	-0.0012718877	-0.57500637	0	0	-0.001	0
0	-0.001369786	-0.54622066	0	0	6.2450045e-17	0
0	-0.0014902414	-0.51679635	0	0	0.001	0
0	-0.0016360802	-0.4867636	0	0	0.002	0
0	-0.0018134094	-0.45614508	0	0	0.002999999	0
0	-0.0020311384	-0.42497328	0	0	0.004	0
0	-0.00230128	-0.39328575	0	0	0.0049999994	0
0	-0.0026283644	-0.36113042	0	0	0.005999998	0
0	-0.0030369177	-0.32853276	0	0	0.0069999998	0
0	-0.0035371836	-0.2955476	0	0	0.008	0
0	-0.004144397	-0.26221406	0	0	0.009000002	0
0	-0.004872625	-0.22857597	0	0	0.009999999	0
0	-0.0057412903	-0.19467519	0	0	0.0110000055	0
0	-0.006746879	-0.16056384	0	0	0.011999996	0
0	-0.007909702	-0.12627676	0	0	0.013000003	0
0	-0.009220405	-0.09186934	0	0	0.0139999995	0
0	-0.010680382	-0.057383053	0	0	0.014999993	0
0	-0.0122951325	-0.02286083	0	0	0.016	0
0	-0.014047935	0.011643036	0	0	0.016999999	0
0	-0.015957056	0.046093583	0	0	0.018000005	0
0	-0.017984506	0.08041846	0	0	0.018999996	0
0	-0.020112839	0.11456755	0	0	0.019999998	0
0	-0.022399563	0.14852202	0	0	0.021000009	0
0	-0.024796247	0.18215854	0	0	0.022000011	0
0	-0.22799447	0.88498706	0	0	0.023	0
0	-0.22122234	0.8899276	0	0	0.023999993	0
0	-0.21480113	0.8944988	0	0	0.024999993	0
0	-0.20870653	0.8987413	0	0	0.026000006	0
0	-0.20291616	0.9026907	0	0	0.027000008	0
0	-0.19740906	0.9063769	0	0	0.027999999	0
0	-0.19216883	0.90982544	0	0	0.028999986	0
0	-0.18717276	0.91306	0	0	0.029999986	0
0	-0.18240958	0.9160993	0	0	0.031000005	0
0	-0.17786077	0.91896147	0	0	0.032	0
0	-0.17351289	0.9216617	0	0	0.032999996	0
0	-0.16935149	0.9242139	0	0	0.033999998	0
0	-0.1653679	0.9266292	0	0	0.035000008	0
0	-0.16154838	0.9289193	0	0	0.03600001	0
0	-0.15788282	0.9310937	0	0	0.036999997	0
0	-0.1543605	0.93316126	0	0	0.03799999	0
0	-0.15097281	0.9351301	0	0	0.039	0
0	-0.14771342	0.9370067	0	0	0.039999995	0
0	-0.14457028	0.93879855	0	0	0.041000005	0
0	-0.14153782	0.94051117	0	0	0.042000018	0
0	-0.13860804	0.9421501	0	0	0.04299999	0
0	-0.1357719	0.94372094	0	0	0.044000022	0
0	-0.13302028	0.9452291	0	0	0.04499999	0
0	-0.13034172	0.94667983	0	0	0.046	0
0	-0.12771794	0.9480796	0	0	0.047000017	0
0	-0.12509984	0.9494413	0	0	0.047999986	0
0	-0.12235428	0.95079285	0	0	0.049000017	0
0	-0.12005763	0.9520048	0	0	0.049999986	0
0	-0.11772637	0.9531863	0	0	0.051	0
0	-0.11547491	0.95430624	0	0	0.052000012	0
0	-0.11327356	0.95537496	0	0	0.052999977	0
0	-0.0014451161	0.95700073	0	0	0.054000016	0
0	-0.0011869734	0.957914	0	0	0.05499998	0
0	-0.0010458516	0.9587989	0	0	0.055999998	0
0	-0.00095796434	0.9596564	0	0	0.057000015	0
0	-0.00087960396	0.96048844	0	0	0.057999972	0
0	-0.0008080885	0.9612957	0	0	0.05900001	0
0	-0.0007397787	0.9620794	0	0	0.059999973	0
0	-0.00068421813	0.9628403	0	0	0.060999993	0
0	-0.0006336252	0.9635797	0	0	0.06200001	0
0	-0.0005879839	0.96429837	0	0	0.062999986	0
0	-0.00054628006	0.9649971	0	0	0.064	0
0	-0.0005058411	0.9656769	0	0	0.06500003	0
0	-0.00046988696	0.9663384	0	0	0.06599999	0
0	-0.00043656307	0.96698225	0	0	0.067000024	0
0	-0.00040643592	0.9676093	0	0	0.067999996	0
0	-0.00037730322	0.9682201	0	0	0.069	0
0	-0.0003515476	0.9688152	0	0	0.070000015	0
0	-0.000327526	0.96939534	0	0	0.071	0
0	-0.00030450636	0.9699613	0	0	0.07200002	0
0	-0.00028289604	0.9705131	0	0	0.07299998	0
0	-0.0002630172	0.97105145	0	0	0.07399999	0
